Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,USD_MSRP,Packaging,Availability,wanted,owned,rating,theme_grp,review_num,query_id,adjust_coef,adj_USD_MSRP
31032,Red Creatures,2015,Creator,No_Subtheme,221.0,0.0,http://images.brickset.com/sets/images/31032-1.jpg,14.99,Box,Retail,813.0,2948.0,4.66666666666667,Basic,3,31032-1,1.0,14.99
31033,Vehicle Transporter,2015,Creator,No_Subtheme,264.0,0.0,http://images.brickset.com/sets/images/31033-1.jpg,24.99,Box,Retail,452.0,1215.0,0,Basic,0,31033-1,1.0,24.99
31034,Future Flyer,2015,Creator,No_Subtheme,237.0,0.0,http://images.brickset.com/sets/images/31034-1.jpg,24.99,Box,Retail,621.0,1352.0,5,Basic,2,31034-1,1.0,24.99
31035,Beach Hut,2015,Creator,No_Subtheme,286.0,2.0,http://images.brickset.com/sets/images/31035-1.jpg,29.99,Box,Retail,1647.0,4085.0,4,Basic,1,31035-1,1.0,29.99
31036,Toy & Grocery Shop,2015,Creator,No_Subtheme,466.0,2.0,http://images.brickset.com/sets/images/31036-1.jpg,39.99,Box,Retail,1942.0,5028.0,3,Basic,2,31036-1,1.0,39.99
31037,Adventure Vehicles,2015,Creator,No_Subtheme,282.0,0.0,http://images.brickset.com/sets/images/31037-1.jpg,24.99,Box,Retail,660.0,1326.0,5,Basic,2,31037-1,1.0,24.99
31038,Changing Seasons,2015,Creator,No_Subtheme,536.0,2.0,http://images.brickset.com/sets/images/31038-1.jpg,49.99,Box,Retail,1880.0,4141.0,4,Basic,2,31038-1,1.0,49.99
31039,Blue Power Jet,2015,Creator,No_Subtheme,608.0,0.0,http://images.brickset.com/sets/images/31039-1.jpg,69.99,Box,Retail,1163.0,2155.0,4.5,Basic,2,31039-1,1.0,69.99
40120,Valentine's Day Dinner,2015,Seasonal,Valentines,114.0,2.0,http://images.brickset.com/sets/images/40120-1.jpg,9.99,Box,LEGO exclusive,1212.0,3484.0,5,Miscellaneous,4,40120-1,1.0,9.99
40121,Painting Easter Eggs,2015,Seasonal,Easter,153.0,2.0,http://images.brickset.com/sets/images/40121-1.jpg,9.99,Box,LEGO exclusive,1044.0,3858.0,5,Miscellaneous,1,40121-1,1.0,9.99
40122,Trick or Treat Halloween Set,2015,Seasonal,Halloween,133.0,0.0,http://images.brickset.com/sets/images/40122-1.jpg,9.99,Box,LEGO exclusive,779.0,3192.0,4,Miscellaneous,2,40122-1,1.0,9.99
40153,Birthday Cake,2015,Miscellaneous,No_Subtheme,120.0,0.0,http://images.brickset.com/sets/images/40153-1.jpg,9.99,Box,LEGO exclusive,584.0,2563.0,5,Miscellaneous,1,40153-1,1.0,9.99
40154,Iconic Pencil Pot,2015,Creator,No_Subtheme,174.0,2.0,http://images.brickset.com/sets/images/40154-1.jpg,14.99,Box,LEGO exclusive,691.0,1932.0,4,Miscellaneous,1,40154-1,1.0,14.99
40155,Piggy Coin Bank,2015,Miscellaneous,No_Subtheme,148.0,0.0,http://images.brickset.com/sets/images/40155-1.jpg,14.99,Box,LEGO exclusive,398.0,1494.0,0,Miscellaneous,0,40155-1,1.0,14.99
